	bc019	bc062	bc065	bc082	bc120	bc139	bc145	bc150	bc183	bc218	bc219	bc245	bc247	bc286	bc298	bc310	bc314	bc336	bc365	bc370	bc387	bc388	bc396	bc397	bc411	bc413	bc414	bc418	bc436	bc471	bc488	bc497	bc500	bc508	bc516	bc538
bc018	1 A01 (1)	9 A02 (1)	17 A03 (1)	25 A04 (1)	33 A05 (1)	41 A06 (1)	49 A07 (1)	57 A08 (1)	65 A09 (1)	73 A10 (1)	81 A11 (1)	89 A12 (1)	481 A01 (6)	489 A02 (6)	497 A03 (6)	505 A04 (6)	513 A05 (6)	521 A06 (6)	529 A07 (6)	537 A08 (6)	545 A09 (6)	553 A10 (6)	561 A11 (6)	569 A12 (6)	961 A01 (11)	969 A02 (11)	977 A03 (11)	985 A04 (11)	993 A05 (11)	1001 A06 (11)	1009 A07 (11)	1017 A08 (11)	1025 A09 (11)	1033 A10 (11)	1041 A11 (11)	1049 A12 (11)
bc060	2 B01 (1)	10 B02 (1)	18 B03 (1)	26 B04 (1)	34 B05 (1)	42 B06 (1)	50 B07 (1)	58 B08 (1)	66 B09 (1)	74 B10 (1)	82 B11 (1)	90 B12 (1)	482 B01 (6)	490 B02 (6)	498 B03 (6)	506 B04 (6)	514 B05 (6)	522 B06 (6)	530 B07 (6)	538 B08 (6)	546 B09 (6)	554 B10 (6)	562 B11 (6)	570 B12 (6)	962 B01 (11)	970 B02 (11)	978 B03 (11)	986 B04 (11)	994 B05 (11)	1002 B06 (11)	1010 B07 (11)	1018 B08 (11)	1026 B09 (11)	1034 B10 (11)	1042 B11 (11)	1050 B12 (11)
bc061	3 C01 (1)	11 C02 (1)	19 C03 (1)	27 C04 (1)	35 C05 (1)	43 C06 (1)	51 C07 (1)	59 C08 (1)	67 C09 (1)	75 C10 (1)	83 C11 (1)	91 C12 (1)	483 C01 (6)	491 C02 (6)	499 C03 (6)	507 C04 (6)	515 C05 (6)	523 C06 (6)	531 C07 (6)	539 C08 (6)	547 C09 (6)	555 C10 (6)	563 C11 (6)	571 C12 (6)	963 C01 (11)	971 C02 (11)	979 C03 (11)	987 C04 (11)	995 C05 (11)	1003 C06 (11)	1011 C07 (11)	1019 C08 (11)	1027 C09 (11)	1035 C10 (11)	1043 C11 (11)	1051 C12 (11)
bc062	4 D01 (1)	12 D02 (1)	20 D03 (1)	28 D04 (1)	36 D05 (1)	44 D06 (1)	52 D07 (1)	60 D08 (1)	68 D09 (1)	76 D10 (1)	84 D11 (1)	92 D12 (1)	484 D01 (6)	492 D02 (6)	500 D03 (6)	508 D04 (6)	516 D05 (6)	524 D06 (6)	532 D07 (6)	540 D08 (6)	548 D09 (6)	556 D10 (6)	564 D11 (6)	572 D12 (6)	964 D01 (11)	972 D02 (11)	980 D03 (11)	988 D04 (11)	996 D05 (11)	1004 D06 (11)	1012 D07 (11)	1020 D08 (11)	1028 D09 (11)	1036 D10 (11)	1044 D11 (11)	1052 D12 (11)
bc095	5 E01 (1)	13 E02 (1)	21 E03 (1)	29 E04 (1)	37 E05 (1)	45 E06 (1)	53 E07 (1)	61 E08 (1)	69 E09 (1)	77 E10 (1)	85 E11 (1)	93 E12 (1)	485 E01 (6)	493 E02 (6)	501 E03 (6)	509 E04 (6)	517 E05 (6)	525 E06 (6)	533 E07 (6)	541 E08 (6)	549 E09 (6)	557 E10 (6)	565 E11 (6)	573 E12 (6)	965 E01 (11)	973 E02 (11)	981 E03 (11)	989 E04 (11)	997 E05 (11)	1005 E06 (11)	1013 E07 (11)	1021 E08 (11)	1029 E09 (11)	1037 E10 (11)	1045 E11 (11)	1053 E12 (11)
bc139	6 F01 (1)	14 F02 (1)	22 F03 (1)	30 F04 (1)	38 F05 (1)	46 F06 (1)	54 F07 (1)	62 F08 (1)	70 F09 (1)	78 F10 (1)	86 F11 (1)	94 F12 (1)	486 F01 (6)	494 F02 (6)	502 F03 (6)	510 F04 (6)	518 F05 (6)	526 F06 (6)	534 F07 (6)	542 F08 (6)	550 F09 (6)	558 F10 (6)	566 F11 (6)	574 F12 (6)	966 F01 (11)	974 F02 (11)	982 F03 (11)	990 F04 (11)	998 F05 (11)	1006 F06 (11)	1014 F07 (11)	1022 F08 (11)	1030 F09 (11)	1038 F10 (11)	1046 F11 (11)	1054 F12 (11)
bc148	7 G01 (1)	15 G02 (1)	23 G03 (1)	31 G04 (1)	39 G05 (1)	47 G06 (1)	55 G07 (1)	63 G08 (1)	71 G09 (1)	79 G10 (1)	87 G11 (1)	95 G12 (1)	487 G01 (6)	495 G02 (6)	503 G03 (6)	511 G04 (6)	519 G05 (6)	527 G06 (6)	535 G07 (6)	543 G08 (6)	551 G09 (6)	559 G10 (6)	567 G11 (6)	575 G12 (6)	967 G01 (11)	975 G02 (11)	983 G03 (11)	991 G04 (11)	999 G05 (11)	1007 G06 (11)	1015 G07 (11)	1023 G08 (11)	1031 G09 (11)	1039 G10 (11)	1047 G11 (11)	1055 G12 (11)
bc157	8 H01 (1)	16 H02 (1)	24 H03 (1)	32 H04 (1)	40 H05 (1)	48 H06 (1)	56 H07 (1)	64 H08 (1)	72 H09 (1)	80 H10 (1)	88 H11 (1)	96 H12 (1)	488 H01 (6)	496 H02 (6)	504 H03 (6)	512 H04 (6)	520 H05 (6)	528 H06 (6)	536 H07 (6)	544 H08 (6)	552 H09 (6)	560 H10 (6)	568 H11 (6)	576 H12 (6)	968 H01 (11)	976 H02 (11)	984 H03 (11)	992 H04 (11)	1000 H05 (11)	1008 H06 (11)	1016 H07 (11)	1024 H08 (11)	1032 H09 (11)	1040 H10 (11)	1048 H11 (11)	1056 H12 (11)
bc168	97 A01 (2)	105 A02 (2)	113 A03 (2)	121 A04 (2)	129 A05 (2)	137 A06 (2)	145 A07 (2)	153 A08 (2)	161 A09 (2)	169 A10 (2)	177 A11 (2)	185 A12 (2)	577 A01 (7)	585 A02 (7)	593 A03 (7)	601 A04 (7)	609 A05 (7)	617 A06 (7)	625 A07 (7)	633 A08 (7)	641 A09 (7)	649 A10 (7)	657 A11 (7)	665 A12 (7)	1057 A01 (12)	1065 A02 (12)	1073 A03 (12)	1081 A04 (12)	1089 A05 (12)	1097 A06 (12)	1105 A07 (12)	1113 A08 (12)	1121 A09 (12)	1129 A10 (12)	1137 A11 (12)	1145 A12 (12)
bc183	98 B01 (2)	106 B02 (2)	114 B03 (2)	122 B04 (2)	130 B05 (2)	138 B06 (2)	146 B07 (2)	154 B08 (2)	162 B09 (2)	170 B10 (2)	178 B11 (2)	186 B12 (2)	578 B01 (7)	586 B02 (7)	594 B03 (7)	602 B04 (7)	610 B05 (7)	618 B06 (7)	626 B07 (7)	634 B08 (7)	642 B09 (7)	650 B10 (7)	658 B11 (7)	666 B12 (7)	1058 B01 (12)	1066 B02 (12)	1074 B03 (12)	1082 B04 (12)	1090 B05 (12)	1098 B06 (12)	1106 B07 (12)	1114 B08 (12)	1122 B09 (12)	1130 B10 (12)	1138 B11 (12)	1146 B12 (12)
bc192	99 C01 (2)	107 C02 (2)	115 C03 (2)	123 C04 (2)	131 C05 (2)	139 C06 (2)	147 C07 (2)	155 C08 (2)	163 C09 (2)	171 C10 (2)	179 C11 (2)	187 C12 (2)	579 C01 (7)	587 C02 (7)	595 C03 (7)	603 C04 (7)	611 C05 (7)	619 C06 (7)	627 C07 (7)	635 C08 (7)	643 C09 (7)	651 C10 (7)	659 C11 (7)	667 C12 (7)	1059 C01 (12)	1067 C02 (12)	1075 C03 (12)	1083 C04 (12)	1091 C05 (12)	1099 C06 (12)	1107 C07 (12)	1115 C08 (12)	1123 C09 (12)	1131 C10 (12)	1139 C11 (12)	1147 C12 (12)
bc205	100 D01 (2)	108 D02 (2)	116 D03 (2)	124 D04 (2)	132 D05 (2)	140 D06 (2)	148 D07 (2)	156 D08 (2)	164 D09 (2)	172 D10 (2)	180 D11 (2)	188 D12 (2)	580 D01 (7)	588 D02 (7)	596 D03 (7)	604 D04 (7)	612 D05 (7)	620 D06 (7)	628 D07 (7)	636 D08 (7)	644 D09 (7)	652 D10 (7)	660 D11 (7)	668 D12 (7)	1060 D01 (12)	1068 D02 (12)	1076 D03 (12)	1084 D04 (12)	1092 D05 (12)	1100 D06 (12)	1108 D07 (12)	1116 D08 (12)	1124 D09 (12)	1132 D10 (12)	1140 D11 (12)	1148 D12 (12)
bc219	101 E01 (2)	109 E02 (2)	117 E03 (2)	125 E04 (2)	133 E05 (2)	141 E06 (2)	149 E07 (2)	157 E08 (2)	165 E09 (2)	173 E10 (2)	181 E11 (2)	189 E12 (2)	581 E01 (7)	589 E02 (7)	597 E03 (7)	605 E04 (7)	613 E05 (7)	621 E06 (7)	629 E07 (7)	637 E08 (7)	645 E09 (7)	653 E10 (7)	661 E11 (7)	669 E12 (7)	1061 E01 (12)	1069 E02 (12)	1077 E03 (12)	1085 E04 (12)	1093 E05 (12)	1101 E06 (12)	1109 E07 (12)	1117 E08 (12)	1125 E09 (12)	1133 E10 (12)	1141 E11 (12)	1149 E12 (12)
bc220	102 F01 (2)	110 F02 (2)	118 F03 (2)	126 F04 (2)	134 F05 (2)	142 F06 (2)	150 F07 (2)	158 F08 (2)	166 F09 (2)	174 F10 (2)	182 F11 (2)	190 F12 (2)	582 F01 (7)	590 F02 (7)	598 F03 (7)	606 F04 (7)	614 F05 (7)	622 F06 (7)	630 F07 (7)	638 F08 (7)	646 F09 (7)	654 F10 (7)	662 F11 (7)	670 F12 (7)	1062 F01 (12)	1070 F02 (12)	1078 F03 (12)	1086 F04 (12)	1094 F05 (12)	1102 F06 (12)	1110 F07 (12)	1118 F08 (12)	1126 F09 (12)	1134 F10 (12)	1142 F11 (12)	1150 F12 (12)
bc258	103 G01 (2)	111 G02 (2)	119 G03 (2)	127 G04 (2)	135 G05 (2)	143 G06 (2)	151 G07 (2)	159 G08 (2)	167 G09 (2)	175 G10 (2)	183 G11 (2)	191 G12 (2)	583 G01 (7)	591 G02 (7)	599 G03 (7)	607 G04 (7)	615 G05 (7)	623 G06 (7)	631 G07 (7)	639 G08 (7)	647 G09 (7)	655 G10 (7)	663 G11 (7)	671 G12 (7)	1063 G01 (12)	1071 G02 (12)	1079 G03 (12)	1087 G04 (12)	1095 G05 (12)	1103 G06 (12)	1111 G07 (12)	1119 G08 (12)	1127 G09 (12)	1135 G10 (12)	1143 G11 (12)	1151 G12 (12)
bc264	104 H01 (2)	112 H02 (2)	120 H03 (2)	128 H04 (2)	136 H05 (2)	144 H06 (2)	152 H07 (2)	160 H08 (2)	168 H09 (2)	176 H10 (2)	184 H11 (2)	192 H12 (2)	584 H01 (7)	592 H02 (7)	600 H03 (7)	608 H04 (7)	616 H05 (7)	624 H06 (7)	632 H07 (7)	640 H08 (7)	648 H09 (7)	656 H10 (7)	664 H11 (7)	672 H12 (7)	1064 H01 (12)	1072 H02 (12)	1080 H03 (12)	1088 H04 (12)	1096 H05 (12)	1104 H06 (12)	1112 H07 (12)	1120 H08 (12)	1128 H09 (12)	1136 H10 (12)	1144 H11 (12)	1152 H12 (12)
bc272	193 A01 (3)	201 A02 (3)	209 A03 (3)	217 A04 (3)	225 A05 (3)	233 A06 (3)	241 A07 (3)	249 A08 (3)	257 A09 (3)	265 A10 (3)	273 A11 (3)	281 A12 (3)	673 A01 (8)	681 A02 (8)	689 A03 (8)	697 A04 (8)	705 A05 (8)	713 A06 (8)	721 A07 (8)	729 A08 (8)	737 A09 (8)	745 A10 (8)	753 A11 (8)	761 A12 (8)	1153 A01 (13)	1161 A02 (13)	1169 A03 (13)	1177 A04 (13)	1185 A05 (13)	1193 A06 (13)	1201 A07 (13)	1209 A08 (13)	1217 A09 (13)	1225 A10 (13)	1233 A11 (13)	1241 A12 (13)
bc277	194 B01 (3)	202 B02 (3)	210 B03 (3)	218 B04 (3)	226 B05 (3)	234 B06 (3)	242 B07 (3)	250 B08 (3)	258 B09 (3)	266 B10 (3)	274 B11 (3)	282 B12 (3)	674 B01 (8)	682 B02 (8)	690 B03 (8)	698 B04 (8)	706 B05 (8)	714 B06 (8)	722 B07 (8)	730 B08 (8)	738 B09 (8)	746 B10 (8)	754 B11 (8)	762 B12 (8)	1154 B01 (13)	1162 B02 (13)	1170 B03 (13)	1178 B04 (13)	1186 B05 (13)	1194 B06 (13)	1202 B07 (13)	1210 B08 (13)	1218 B09 (13)	1226 B10 (13)	1234 B11 (13)	1242 B12 (13)
bc282	195 C01 (3)	203 C02 (3)	211 C03 (3)	219 C04 (3)	227 C05 (3)	235 C06 (3)	243 C07 (3)	251 C08 (3)	259 C09 (3)	267 C10 (3)	275 C11 (3)	283 C12 (3)	675 C01 (8)	683 C02 (8)	691 C03 (8)	699 C04 (8)	707 C05 (8)	715 C06 (8)	723 C07 (8)	731 C08 (8)	739 C09 (8)	747 C10 (8)	755 C11 (8)	763 C12 (8)	1155 C01 (13)	1163 C02 (13)	1171 C03 (13)	1179 C04 (13)	1187 C05 (13)	1195 C06 (13)	1203 C07 (13)	1211 C08 (13)	1219 C09 (13)	1227 C10 (13)	1235 C11 (13)	1243 C12 (13)
bc286	196 D01 (3)	204 D02 (3)	212 D03 (3)	220 D04 (3)	228 D05 (3)	236 D06 (3)	244 D07 (3)	252 D08 (3)	260 D09 (3)	268 D10 (3)	276 D11 (3)	284 D12 (3)	676 D01 (8)	684 D02 (8)	692 D03 (8)	700 D04 (8)	708 D05 (8)	716 D06 (8)	724 D07 (8)	732 D08 (8)	740 D09 (8)	748 D10 (8)	756 D11 (8)	764 D12 (8)	1156 D01 (13)	1164 D02 (13)	1172 D03 (13)	1180 D04 (13)	1188 D05 (13)	1196 D06 (13)	1204 D07 (13)	1212 D08 (13)	1220 D09 (13)	1228 D10 (13)	1236 D11 (13)	1244 D12 (13)
bc298	197 E01 (3)	205 E02 (3)	213 E03 (3)	221 E04 (3)	229 E05 (3)	237 E06 (3)	245 E07 (3)	253 E08 (3)	261 E09 (3)	269 E10 (3)	277 E11 (3)	285 E12 (3)	677 E01 (8)	685 E02 (8)	693 E03 (8)	701 E04 (8)	709 E05 (8)	717 E06 (8)	725 E07 (8)	733 E08 (8)	741 E09 (8)	749 E10 (8)	757 E11 (8)	765 E12 (8)	1157 E01 (13)	1165 E02 (13)	1173 E03 (13)	1181 E04 (13)	1189 E05 (13)	1197 E06 (13)	1205 E07 (13)	1213 E08 (13)	1221 E09 (13)	1229 E10 (13)	1237 E11 (13)	1245 E12 (13)
bc314	198 F01 (3)	206 F02 (3)	214 F03 (3)	222 F04 (3)	230 F05 (3)	238 F06 (3)	246 F07 (3)	254 F08 (3)	262 F09 (3)	270 F10 (3)	278 F11 (3)	286 F12 (3)	678 F01 (8)	686 F02 (8)	694 F03 (8)	702 F04 (8)	710 F05 (8)	718 F06 (8)	726 F07 (8)	734 F08 (8)	742 F09 (8)	750 F10 (8)	758 F11 (8)	766 F12 (8)	1158 F01 (13)	1166 F02 (13)	1174 F03 (13)	1182 F04 (13)	1190 F05 (13)	1198 F06 (13)	1206 F07 (13)	1214 F08 (13)	1222 F09 (13)	1230 F10 (13)	1238 F11 (13)	1246 F12 (13)
bc321	199 G01 (3)	207 G02 (3)	215 G03 (3)	223 G04 (3)	231 G05 (3)	239 G06 (3)	247 G07 (3)	255 G08 (3)	263 G09 (3)	271 G10 (3)	279 G11 (3)	287 G12 (3)	679 G01 (8)	687 G02 (8)	695 G03 (8)	703 G04 (8)	711 G05 (8)	719 G06 (8)	727 G07 (8)	735 G08 (8)	743 G09 (8)	751 G10 (8)	759 G11 (8)	767 G12 (8)	1159 G01 (13)	1167 G02 (13)	1175 G03 (13)	1183 G04 (13)	1191 G05 (13)	1199 G06 (13)	1207 G07 (13)	1215 G08 (13)	1223 G09 (13)	1231 G10 (13)	1239 G11 (13)	1247 G12 (13)
bc324	200 H01 (3)	208 H02 (3)	216 H03 (3)	224 H04 (3)	232 H05 (3)	240 H06 (3)	248 H07 (3)	256 H08 (3)	264 H09 (3)	272 H10 (3)	280 H11 (3)	288 H12 (3)	680 H01 (8)	688 H02 (8)	696 H03 (8)	704 H04 (8)	712 H05 (8)	720 H06 (8)	728 H07 (8)	736 H08 (8)	744 H09 (8)	752 H10 (8)	760 H11 (8)	768 H12 (8)	1160 H01 (13)	1168 H02 (13)	1176 H03 (13)	1184 H04 (13)	1192 H05 (13)	1200 H06 (13)	1208 H07 (13)	1216 H08 (13)	1224 H09 (13)	1232 H10 (13)	1240 H11 (13)	1248 H12 (13)
bc327	289 A01 (4)	297 A02 (4)	305 A03 (4)	313 A04 (4)	321 A05 (4)	329 A06 (4)	337 A07 (4)	345 A08 (4)	353 A09 (4)	361 A10 (4)	369 A11 (4)	377 A12 (4)	769 A01 (9)	777 A02 (9)	785 A03 (9)	793 A04 (9)	801 A05 (9)	809 A06 (9)	817 A07 (9)	825 A08 (9)	833 A09 (9)	841 A10 (9)	849 A11 (9)	857 A12 (9)	1249 A01 (14)	1257 A02 (14)	1265 A03 (14)	1273 A04 (14)	1281 A05 (14)	1289 A06 (14)	1297 A07 (14)	1305 A08 (14)	1313 A09 (14)	1321 A10 (14)	1329 A11 (14)	1337 A12 (14)
bc357	290 B01 (4)	298 B02 (4)	306 B03 (4)	314 B04 (4)	322 B05 (4)	330 B06 (4)	338 B07 (4)	346 B08 (4)	354 B09 (4)	362 B10 (4)	370 B11 (4)	378 B12 (4)	770 B01 (9)	778 B02 (9)	786 B03 (9)	794 B04 (9)	802 B05 (9)	810 B06 (9)	818 B07 (9)	826 B08 (9)	834 B09 (9)	842 B10 (9)	850 B11 (9)	858 B12 (9)	1250 B01 (14)	1258 B02 (14)	1266 B03 (14)	1274 B04 (14)	1282 B05 (14)	1290 B06 (14)	1298 B07 (14)	1306 B08 (14)	1314 B09 (14)	1322 B10 (14)	1330 B11 (14)	1338 B12 (14)
bc361	291 C01 (4)	299 C02 (4)	307 C03 (4)	315 C04 (4)	323 C05 (4)	331 C06 (4)	339 C07 (4)	347 C08 (4)	355 C09 (4)	363 C10 (4)	371 C11 (4)	379 C12 (4)	771 C01 (9)	779 C02 (9)	787 C03 (9)	795 C04 (9)	803 C05 (9)	811 C06 (9)	819 C07 (9)	827 C08 (9)	835 C09 (9)	843 C10 (9)	851 C11 (9)	859 C12 (9)	1251 C01 (14)	1259 C02 (14)	1267 C03 (14)	1275 C04 (14)	1283 C05 (14)	1291 C06 (14)	1299 C07 (14)	1307 C08 (14)	1315 C09 (14)	1323 C10 (14)	1331 C11 (14)	1339 C12 (14)
bc362	292 D01 (4)	300 D02 (4)	308 D03 (4)	316 D04 (4)	324 D05 (4)	332 D06 (4)	340 D07 (4)	348 D08 (4)	356 D09 (4)	364 D10 (4)	372 D11 (4)	380 D12 (4)	772 D01 (9)	780 D02 (9)	788 D03 (9)	796 D04 (9)	804 D05 (9)	812 D06 (9)	820 D07 (9)	828 D08 (9)	836 D09 (9)	844 D10 (9)	852 D11 (9)	860 D12 (9)	1252 D01 (14)	1260 D02 (14)	1268 D03 (14)	1276 D04 (14)	1284 D05 (14)	1292 D06 (14)	1300 D07 (14)	1308 D08 (14)	1316 D09 (14)	1324 D10 (14)	1332 D11 (14)	1340 D12 (14)
bc368	293 E01 (4)	301 E02 (4)	309 E03 (4)	317 E04 (4)	325 E05 (4)	333 E06 (4)	341 E07 (4)	349 E08 (4)	357 E09 (4)	365 E10 (4)	373 E11 (4)	381 E12 (4)	773 E01 (9)	781 E02 (9)	789 E03 (9)	797 E04 (9)	805 E05 (9)	813 E06 (9)	821 E07 (9)	829 E08 (9)	837 E09 (9)	845 E10 (9)	853 E11 (9)	861 E12 (9)	1253 E01 (14)	1261 E02 (14)	1269 E03 (14)	1277 E04 (14)	1285 E05 (14)	1293 E06 (14)	1301 E07 (14)	1309 E08 (14)	1317 E09 (14)	1325 E10 (14)	1333 E11 (14)	1341 E12 (14)
bc370	294 F01 (4)	302 F02 (4)	310 F03 (4)	318 F04 (4)	326 F05 (4)	334 F06 (4)	342 F07 (4)	350 F08 (4)	358 F09 (4)	366 F10 (4)	374 F11 (4)	382 F12 (4)	774 F01 (9)	782 F02 (9)	790 F03 (9)	798 F04 (9)	806 F05 (9)	814 F06 (9)	822 F07 (9)	830 F08 (9)	838 F09 (9)	846 F10 (9)	854 F11 (9)	862 F12 (9)	1254 F01 (14)	1262 F02 (14)	1270 F03 (14)	1278 F04 (14)	1286 F05 (14)	1294 F06 (14)	1302 F07 (14)	1310 F08 (14)	1318 F09 (14)	1326 F10 (14)	1334 F11 (14)	1342 F12 (14)
bc377	295 G01 (4)	303 G02 (4)	311 G03 (4)	319 G04 (4)	327 G05 (4)	335 G06 (4)	343 G07 (4)	351 G08 (4)	359 G09 (4)	367 G10 (4)	375 G11 (4)	383 G12 (4)	775 G01 (9)	783 G02 (9)	791 G03 (9)	799 G04 (9)	807 G05 (9)	815 G06 (9)	823 G07 (9)	831 G08 (9)	839 G09 (9)	847 G10 (9)	855 G11 (9)	863 G12 (9)	1255 G01 (14)	1263 G02 (14)	1271 G03 (14)	1279 G04 (14)	1287 G05 (14)	1295 G06 (14)	1303 G07 (14)	1311 G08 (14)	1319 G09 (14)	1327 G10 (14)	1335 G11 (14)	1343 G12 (14)
bc406	296 H01 (4)	304 H02 (4)	312 H03 (4)	320 H04 (4)	328 H05 (4)	336 H06 (4)	344 H07 (4)	352 H08 (4)	360 H09 (4)	368 H10 (4)	376 H11 (4)	384 H12 (4)	776 H01 (9)	784 H02 (9)	792 H03 (9)	800 H04 (9)	808 H05 (9)	816 H06 (9)	824 H07 (9)	832 H08 (9)	840 H09 (9)	848 H10 (9)	856 H11 (9)	864 H12 (9)	1256 H01 (14)	1264 H02 (14)	1272 H03 (14)	1280 H04 (14)	1288 H05 (14)	1296 H06 (14)	1304 H07 (14)	1312 H08 (14)	1320 H09 (14)	1328 H10 (14)	1336 H11 (14)	1344 H12 (14)
bc411	385 A01 (5)	393 A02 (5)	401 A03 (5)	409 A04 (5)	417 A05 (5)	425 A06 (5)	433 A07 (5)	441 A08 (5)	449 A09 (5)	457 A10 (5)	465 A11 (5)	473 A12 (5)	865 A01 (10)	873 A02 (10)	881 A03 (10)	889 A04 (10)	897 A05 (10)	905 A06 (10)	913 A07 (10)	921 A08 (10)	929 A09 (10)	937 A10 (10)	945 A11 (10)	953 A12 (10)	1345 A01 (15)	1353 A02 (15)	1361 A03 (15)	1369 A04 (15)	1377 A05 (15)	1385 A06 (15)	1393 A07 (15)	1401 A08 (15)	1409 A09 (15)	1417 A10 (15)	1425 A11 (15)	1433 A12 (15)
